Datum;Uhrzeit;Preis (ct/kWh)
22.06.2025;09:00;-0.01
22.06.2025;10:00;-1.11
22.06.2025;11:00;-3.86
22.06.2025;12:00;-6.74
22.06.2025;13:00;-9.9
22.06.2025;14:00;-8.1
22.06.2025;15:00;-4.01
22.06.2025;16:00;-0.77
22.06.2025;17:00;-0.0
22.06.2025;18:00;6.97
22.06.2025;19:00;10.93
22.06.2025;20:00;12.39
22.06.2025;21:00;13.43
22.06.2025;22:00;12.63
22.06.2025;23:00;10.16
23.06.2025;00:00;7.03
23.06.2025;01:00;6.38
23.06.2025;02:00;6.38
23.06.2025;03:00;6.45
23.06.2025;04:00;7.25
23.06.2025;05:00;8.49
23.06.2025;06:00;8.91
23.06.2025;07:00;9.22
23.06.2025;08:00;7.9
23.06.2025;09:00;1.86
23.06.2025;10:00;-0.0
23.06.2025;11:00;-0.61
23.06.2025;12:00;-1.28
23.06.2025;13:00;-2.65
23.06.2025;14:00;-3.27
23.06.2025;15:00;-3.27
23.06.2025;16:00;-2.5
23.06.2025;17:00;-1.31
23.06.2025;18:00;-0.1
23.06.2025;19:00;2.0
23.06.2025;20:00;8.35
23.06.2025;21:00;9.0
23.06.2025;22:00;9.78
23.06.2025;23:00;8.95
24.06.2025;00:00;7.71
24.06.2025;01:00;6.68
24.06.2025;02:00;6.38
24.06.2025;03:00;5.81
24.06.2025;04:00;6.65
24.06.2025;05:00;6.97
24.06.2025;06:00;8.82
24.06.2025;07:00;8.8
